WARNING: sequence length is too short
Position	P(x)	G(x)
1	0.00086658	3.80211
2	0.00119442	3.80703
3	0.00137554	3.85801
4	0.0014738	3.90661
5	0.00175209	3.92384
6	0.00189884	3.96588
7	0.00197534	4.00344
8	0.00201475	4.03073
9	0.0020344	4.04794
10	0.00204265	4.05632
11	0.00204216	4.05645
12	0.00203057	4.0478
13	0.00199857	4.02958
14	0.00192423	4.00401
15	0.00189691	3.99146
16	0.00189623	3.99739
17	0.00187817	3.99249
18	0.00183164	3.97808
19	0.00173414	3.95952
20	0.0015441	3.95691
21	0.00118819	4.05347
22	0.000541273	4.96578
23	0.000327824	5.63926
24	0.000270065	5.9186
25	0.000295778	5.87954
26	0.000291415	5.95225
27	0.000399732	5.63091
28	0.00082648	4.82126
29	0.00111246	4.68416
30	0.00130077	4.65786
31	0.0014205	4.66135
32	0.00149073	4.67142
33	0.00152322	4.67952
34	0.00152418	4.68223
35	0.00165069	4.67855
36	0.00172589	4.68262
37	0.00203321	4.60595
38	0.00222953	4.58657
39	0.00235044	4.58539
40	0.00278785	4.48139
41	0.00306119	4.45326
42	0.00322617	4.45005
43	0.00331708	4.45344
44	0.00365793	4.41415
45	0.00385622	4.40839
46	0.00396108	4.41214
47	0.00399874	4.41661
48	0.00397767	4.41987
49	0.0038901	4.42512
50	0.00392882	4.43103
51	0.00390953	4.43482
52	0.00382939	4.43833
53	0.00366996	4.44841
54	0.00339407	4.48192
55	0.00333158	4.48193
56	0.00320552	4.48335
57	0.00320674	4.48583
58	0.00316434	4.48303
59	0.00307144	4.47756
60	0.0029096	4.47615
61	0.00264577	4.49565
62	0.00222636	4.58416
63	0.0021106	4.58039
64	0.00192185	4.59362
65	0.00162548	4.66423
66	0.00116883	4.94137
67	0.0010436	4.97829
68	0.000849269	5.10241
69	0.000555725	5.56753
70	0.000481511	5.67523
71	0.000365069	5.97713
72	0.000350957	6.01683
73	0.000410658	5.90009
74	0.000443424	5.86261
75	0.000455371	5.85619
76	0.000448783	5.86918
77	0.000422768	5.90839
78	0.000373297	6.00599
79	0.000399461	5.95746
80	0.000406276	5.94385
81	0.000392957	5.96359
82	0.000473374	5.78468
83	0.000524971	5.70428
84	0.00078215	5.26796
85	0.0018	4.31311
86	0.00255013	4.15519
87	0.00310246	4.12259
88	0.00350857	4.12678
89	0.00380569	4.14232
90	0.00401951	4.15925
91	0.00492965	4.07516
92	0.00561854	4.04696
93	0.0061396	4.03945
94	0.00652821	4.03943
95	0.00680499	4.0411
96	0.00811666	3.92481
97	0.0135574	3.32693
98	0.0177707	3.14505
99	0.0210084	3.07507
100	0.0341114	2.59316
101	0.0440213	2.45565
102	0.0514307	2.41237
103	0.056899	2.40509
104	0.0608728	2.41275
105	0.0637013	2.42576
106	0.0656476	2.43912
107	0.073351	2.41
108	0.0787023	2.40785
109	0.0823461	2.41564
110	0.084743	2.4256
111	0.0862048	2.4339
112	0.0869191	2.43861
113	0.0869616	2.43881
114	0.0895179	2.44514
115	0.0909897	2.45045
116	0.0916122	2.45249
117	0.0914742	2.45038
118	0.0905222	2.44432
119	0.0917214	2.44738
120	0.0969559	2.43545
121	0.10005	2.43645
122	0.101733	2.44046
123	0.102442	2.44324
124	0.102401	2.4432
125	0.101679	2.44021
126	0.100217	2.43509
127	0.0978393	2.42973
128	0.0942497	2.42758
129	0.0890177	2.4349
130	0.0815504	2.464
131	0.0710527	2.54205
132	0.0564719	2.74362
133	0.0527315	2.75479
134	0.0475862	2.78825
135	0.0405741	2.87227
136	0.0388874	2.86308
137	0.0365274	2.85582
138	0.0332704	2.85703
139	0.0287903	2.88318
140	0.0226122	2.98478
141	0.0210871	2.9655
142	0.0188866	2.95394
143	0.015748	2.97496
144	0.0112912	3.11866
145	0.00498067	4.07834
146	0.00335834	4.56757
147	0.00313941	4.64547
148	0.00266081	4.87241
149	0.00298788	4.74315
150	0.00307417	4.72911
151	0.00404503	4.42625
152	0.00461616	4.34085
153	0.00492477	4.31982
154	0.0050542	4.32134
155	0.00590094	4.23472
156	0.00643001	4.21289
157	0.00675304	4.2117
158	0.00693791	4.21582
159	0.00702475	4.21925
160	0.00703531	4.21944
161	0.00697773	4.21529
162	0.0068475	4.20646
163	0.00662462	4.19393
164	0.00670871	4.18967
165	0.00670849	4.18222
166	0.00660636	4.17293
167	0.00635778	4.16843
168	0.00647417	4.15577
169	0.00645283	4.14846
170	0.00625869	4.15253
171	0.00581569	4.18989
172	0.00498623	4.32949
173	0.00486345	4.33806
174	0.00530102	4.24064
175	0.00548339	4.20295
176	0.00545	4.19702
177	0.00520197	4.22135
178	0.00545286	4.17476
179	0.00549131	4.16164
180	0.00535729	4.16636
181	0.00505566	4.19059
182	0.00456313	4.2522
183	0.00450563	4.24975
184	0.00434796	4.25265
185	0.00409065	4.26352
186	0.00407002	4.26022
187	0.00399529	4.25265
188	0.00387171	4.24031
189	0.00386556	4.24079
190	0.00383164	4.2336
191	0.0037727	4.21922
192	0.00368432	4.19797
193	0.00355544	4.1701
194	0.00336669	4.13659
195	0.00308636	4.10131
196	0.00266353	4.0774
197	0.00201724	4.11484
198	0.00101939	4.55966
199	0.000726711	4.63483
200	0.000269177	5.57411
201	0.000136831	6.34996
202	0.000110178	6.60599
203	0.000152475	6.15671
204	0.000174645	6.00826
205	0.000329641	5.33217
206	0.000440231	5.18143
207	0.000515102	5.13629
208	0.000854704	4.77721
209	0.00110307	4.6973
210	0.00209898	4.19353
211	0.0028432	4.09489
212	0.00340257	4.07553
213	0.00382474	4.07993
214	0.0055521	3.82362
215	0.0125684	3.00729
216	0.0411291	1.93454
217	0.0631924	1.81877
218	0.0802197	1.80443
219	0.0933292	1.81914
220	0.10339	1.84424
221	0.111085	1.87262
222	0.142047	1.77073
223	0.165608	1.74569
224	0.183514	1.74957
225	0.197121	1.76507
226	0.207463	1.7846
227	0.215328	1.80455
228	0.221299	1.82309
229	0.2258	1.83925
230	0.229113	1.85249
231	0.231391	1.86239
232	0.232636	1.86872
233	0.232652	1.87156
234	0.238612	1.88361
235	0.242605	1.89337
236	0.244644	1.90059
237	0.244447	1.90616
238	0.255235	1.90752
239	0.262509	1.91143
240	0.29777	1.83581
241	0.323855	1.80073
242	0.342655	1.78515
243	0.355528	1.77922
244	0.363378	1.77806
245	0.366707	1.77944
246	0.365636	1.78298
247	0.359912	1.79006
248	0.3489	1.80425
249	0.331563	1.83249
250	0.306435	1.88806
251	0.271585	1.99819
252	0.265697	2.00656
253	0.274203	1.9939
254	0.278165	1.99009
255	0.278754	1.98905
256	0.276679	1.98804
257	0.272302	1.98605
258	0.265715	1.98307
259	0.256771	1.97986
260	0.245089	1.97809
261	0.230012	1.98124
262	0.210536	1.99676
263	0.206096	1.98407
264	0.199992	1.96958
265	0.191724	1.95578
266	0.180549	1.94743
267	0.165434	1.95405
268	0.161707	1.93889
269	0.156561	1.92281
270	0.149569	1.90806
271	0.140164	1.89845
272	0.12762	1.90097
273	0.111012	1.9304
274	0.0891602	2.02476
275	0.0605593	2.32262
276	0.0535022	2.32866
277	0.0443176	2.36879
278	0.0323896	2.50832
279	0.0169132	3.12
280	0.0131126	3.23761
281	0.00817864	3.64881
282	0.00697328	3.69001
283	0.00540529	3.81658
284	0.00337425	4.25231
285	0.00288211	4.30535
286	0.00224471	4.4488
287	0.00142514	4.90411
288	0.00122949	4.96679
289	0.00119092	4.9623
290	0.00113466	4.95307
291	0.00105943	4.94199
292	0.000961851	4.93324
293	0.000836635	4.93438
294	0.000676339	4.96367
295	0.000470678	5.08359
296	0.0002053	5.75609
297	0.000140125	5.90095
298	5.38089e-05	6.84025
299	3.20881e-05	7.29802
300	2.71519e-05	7.36353
301	2.77561e-05	7.32466
302	3.30167e-05	7.23142
303	3.51135e-05	7.22432
304	3.53756e-05	7.22495
305	3.41993e-05	7.22046
306	3.13547e-05	7.22266
307	3.16519e-05	7.24345
308	3.0694e-05	7.25845
309	2.80929e-05	7.29116
310	2.92465e-05	7.31086
311	2.898e-05	7.33249
312	2.67795e-05	7.38925
313	2.14275e-05	7.61191
314	2.2906e-05	7.56442
315	2.15572e-05	7.66035
316	3.13831e-05	7.18985
317	7.63618e-05	6.13858
318	0.000109759	5.95427
319	0.000245869	5.27091
320	0.000781914	4.31157
321	0.00287031	3.37611
322	0.00439943	3.32281
323	0.00550964	3.3438
324	0.00630918	3.38098
325	0.00688046	3.42005
326	0.00728539	3.45594
327	0.0087974	3.42387
328	0.00985847	3.43165
329	0.0105988	3.45189
330	0.013322	3.34474
331	0.0152091	3.32179
332	0.0165111	3.32721
333	0.0174035	3.34206
334	0.0206614	3.26353
335	0.0324588	2.82652
336	0.0405387	2.72416
337	0.0460691	2.70539
338	0.0498548	2.71431
339	0.0524467	2.73204
340	0.0542171	2.75095
341	0.0554119	2.76777
342	0.056185	2.78108
343	0.0566197	2.79037
344	0.0567383	2.79556
345	0.056501	2.79701
346	0.0575915	2.80937
347	0.0582353	2.81775
348	0.0584468	2.82204
349	0.0581676	2.82269
350	0.0572455	2.82134
351	0.0553953	2.82249
352	0.0521281	2.83776
353	0.0519355	2.83729
354	0.0508558	2.83883
355	0.0528376	2.8265
356	0.0538143	2.82015
357	0.0537887	2.81859
358	0.0526404	2.825
359	0.0501013	2.84947
360	0.0457208	2.9165
361	0.0388214	3.08992
362	0.0378153	3.10668
363	0.03556	3.15615
364	0.031844	3.26774
365	0.03207	3.25693
366	0.0313621	3.26922
367	0.029793	3.30475
368	0.0273402	3.37496
369	0.0274692	3.36593
370	0.0270294	3.36777
371	0.0261282	3.37608
372	0.0247963	3.39155
373	0.0230094	3.41884
374	0.0227373	3.41314
375	0.022259	3.40473
376	0.0215843	3.39356
377	0.0206882	3.38066
378	0.0195149	3.36824
379	0.0179741	3.36098
380	0.0175968	3.34156
381	0.0170818	3.31814
382	0.0163778	3.2915
383	0.015408	3.26345
384	0.0140595	3.23836
385	0.0121671	3.22788
386	0.0094895	3.26927
387	0.00567314	3.54979
388	0.00463576	3.52728
389	0.00313992	3.58164
390	0.000974518	4.49322
391	0.000378894	5.33389
392	0.000215257	5.78714
393	0.000171699	5.86816
394	0.00016464	5.86095
395	0.000149829	5.85754
396	0.000125754	5.87908
397	8.96383e-05	6.00404
398	3.72285e-05	6.88761
399	2.47373e-05	7.29851
400	2.58783e-05	7.19532
401	3.87837e-05	6.72365
402	4.46545e-05	6.63029
403	6.42036e-05	6.35045
404	0.000118109	5.83972
405	0.000145207	5.81105
406	0.000158593	5.83679
407	0.000164963	5.86102
408	0.000167606	5.87169
409	0.000167951	5.86567
410	0.000172101	5.8914
411	0.000173503	5.90089
412	0.000172721	5.89458
413	0.000169081	5.87345
414	0.000160179	5.84418
415	0.000157317	5.83548
416	0.000149775	5.82175
417	0.000133115	5.83779
418	9.81964e-05	6.05366
419	8.5059e-05	6.10846
420	5.85408e-05	6.47332
421	4.91412e-05	6.60001
422	4.68114e-05	6.63952
423	4.09932e-05	6.73952
424	4.11044e-05	6.78105
425	3.86532e-05	6.84412
426	4.27398e-05	6.85321
427	4.41515e-05	6.87239
428	4.29252e-05	6.91075
429	3.85683e-05	7.00337
430	2.99823e-05	7.27419
431	3.10894e-05	7.23871
432	2.91495e-05	7.28765
433	3.70959e-05	7.0008
434	6.87861e-05	6.24913
435	8.87307e-05	6.10019
