WARNING: sequence length is too short
Position	P(x)	G(x)
1	1.90515e-05	6.70025
2	2.72907e-05	6.68238
3	5.41575e-05	6.3001
4	7.05151e-05	6.27508
5	0.000122788	5.93281
6	0.000287953	5.25719
7	0.000385583	5.20912
8	0.00044255	5.23156
9	0.000475291	5.26368
10	0.000493728	5.29099
11	0.000503733	5.30967
12	0.000508617	5.31896
13	0.000509944	5.31852
14	0.000518048	5.33444
15	0.000521083	5.341
16	0.000519899	5.33797
17	0.000524786	5.34967
18	0.000524699	5.35165
19	0.000519253	5.3449
20	0.000505361	5.33322
21	0.000475901	5.32979
22	0.000465592	5.31952
23	0.000444352	5.31005
24	0.000403729	5.32455
25	0.000390009	5.31096
26	0.000364774	5.30197
27	0.000320329	5.32541
28	0.000244262	5.48149
29	0.000220314	5.4764
30	0.000180998	5.52128
31	0.000117948	5.79203
32	9.92543e-05	5.79475
33	7.02858e-05	5.88846
34	2.6202e-05	6.77722
35	1.36978e-05	7.3197
36	1.02277e-05	7.43553
37	5.05747e-06	8.02566
38	3.67093e-06	8.18285
39	1.58232e-06	9.00045
40	1.03355e-06	9.37456
41	9.76407e-07	9.54774
42	7.66656e-07	9.72468
43	3.79297e-07	10.2841
44	3.06571e-07	10.4807
45	3.88376e-07	10.4453
46	3.69083e-07	10.393
47	5.54508e-07	10.2679
48	6.14134e-07	10.185
49	5.5797e-07	10.0342
50	7.40387e-07	9.86288
51	7.87e-07	9.72778
52	1.18633e-06	9.35382
53	2.65933e-06	8.54858
54	7.956e-06	7.60987
55	1.14924e-05	7.51632
56	1.38179e-05	7.49888
57	2.24043e-05	7.19993
58	2.81474e-05	7.13735
59	4.87527e-05	6.7105
60	6.24776e-05	6.62789
61	7.14866e-05	6.61465
62	0.000103157	6.36028
63	0.000123683	6.30359
64	0.000136722	6.29697
65	0.000181098	6.10817
66	0.000208782	6.06571
67	0.000225606	6.06296
68	0.000280896	5.92451
69	0.000313872	5.89535
70	0.000417957	5.66508
71	0.000478489	5.61784
72	0.000512842	5.61667
73	0.000531409	5.6253
74	0.000540031	5.6313
75	0.000541407	5.63003
76	0.000557015	5.63834
77	0.000563001	5.64283
78	0.000587586	5.65068
79	0.000598814	5.65988
80	0.000601663	5.66312
81	0.000597706	5.65864
