WARNING: sequence length is too short
Position	P(x)	G(x)
1	0.00149999	5.72807
2	0.00214958	5.71465
3	0.00254044	5.75337
4	0.0027712	5.79531
5	0.00350482	5.73897
6	0.00392161	5.75079
7	0.00415259	5.77494
8	0.00427561	5.79626
9	0.00433442	5.81009
10	0.00434966	5.81508
11	0.00432354	5.81096
12	0.00423861	5.79879
13	0.00404947	5.78401
14	0.00366503	5.78735
15	0.00353454	5.76788
16	0.00350601	5.76286
17	0.00342961	5.74628
18	0.00328114	5.72021
19	0.00301688	5.69027
20	0.00256599	5.67418
21	0.00181918	5.74438
22	0.000613292	6.74752
23	0.000268042	7.71096
24	0.000179346	8.24866
25	0.000186871	8.28124
26	0.000170189	8.4645
27	0.000247604	8.06645
28	0.000576133	7.15002
29	0.000800005	7.00984
30	0.000950713	6.98171
31	0.00104948	6.98343
32	0.00111025	6.99148
33	0.00114128	6.99634
34	0.00114535	6.99383
35	0.00125805	6.98774
36	0.00132324	6.9918
37	0.00161344	6.89936
38	0.0017992	6.87712
39	0.00190911	6.87643
40	0.00237012	6.74172
41	0.00266453	6.70285
42	0.00284148	6.69485
43	0.00292854	6.69754
44	0.00337447	6.61722
45	0.00364355	6.59308
46	0.00378698	6.58842
47	0.00383212	6.59028
48	0.00378658	6.59554
49	0.00363875	6.60851
50	0.00372347	6.60496
51	0.00371556	6.60471
52	0.00361741	6.60637
53	0.0034102	6.61727
54	0.0030499	6.66173
55	0.00298965	6.66069
56	0.00284275	6.6644
57	0.00287823	6.66624
58	0.00284688	6.6656
59	0.00274922	6.66432
60	0.00257059	6.67157
61	0.00228082	6.71081
62	0.00183122	6.85105
63	0.00172188	6.85556
64	0.001544	6.88071
65	0.00127243	6.97026
66	0.000868692	7.29598
67	0.000769621	7.33627
68	0.000616914	7.4576
69	0.000389891	7.91275
70	0.000339271	8.00079
71	0.000256191	8.25931
72	0.00025371	8.26281
73	0.000319889	8.05537
74	0.000355615	7.9915
75	0.000369848	7.97219
76	0.000366578	7.97251
77	0.000346003	7.99229
78	0.000304633	8.0561
79	0.000317338	8.04103
80	0.000313339	8.04627
81	0.000290631	8.08102
82	0.000325422	8.02771
83	0.000339874	8.01311
84	0.000460262	7.76963
85	0.000960615	6.98856
86	0.00132665	6.83075
87	0.00159357	6.78455
88	0.00178498	6.77365
89	0.00191612	6.77512
90	0.0019951	6.77982
91	0.00242071	6.6849
92	0.0027216	6.65412
93	0.00292393	6.64709
94	0.00304162	6.64862
95	0.00307486	6.65428
96	0.00354816	6.59471
97	0.00559512	6.16706
98	0.00713489	6.0397
99	0.00829772	5.99169
100	0.0133345	5.54884
101	0.0172515	5.40777
102	0.0203003	5.35057
103	0.0226593	5.32666
104	0.0244562	5.31803
105	0.0257806	5.31647
106	0.0266909	5.31745
107	0.0312084	5.22077
108	0.0345321	5.18022
109	0.0369015	5.16492
110	0.0384956	5.16064
111	0.039431	5.15998
112	0.0397551	5.15927
113	0.0394312	5.15788
114	0.0416063	5.14764
115	0.042835	5.14607
116	0.0432511	5.14711
117	0.0428719	5.14986
118	0.0415933	5.15822
119	0.0429638	5.1542
120	0.0495713	5.05803
121	0.0537605	5.02452
122	0.0562905	5.01431
123	0.0576548	5.01216
124	0.0581585	5.01163
125	0.0579708	5.01007
126	0.0571587	5.0069
127	0.0557066	5.00277
128	0.0535249	4.99958
129	0.0504483	5.00095
130	0.0462216	5.01407
131	0.0404705	5.05522
132	0.0326499	5.16959
133	0.0307504	5.15525
134	0.0280885	5.14696
135	0.0243524	5.16208
136	0.0234607	5.14003
137	0.0221353	5.11578
138	0.0202005	5.09702
139	0.0173991	5.10328
140	0.0133695	5.19534
141	0.0123862	5.17345
142	0.0109491	5.16094
143	0.00890945	5.18312
144	0.00607722	5.33129
145	0.00221733	6.46952
146	0.00133328	7.15825
147	0.00133937	7.17291
148	0.00119909	7.33904
149	0.0016916	6.9024
150	0.00196931	6.77666
151	0.00323768	6.26319
152	0.00403376	6.15636
153	0.0045207	6.13593
154	0.00480525	6.13876
155	0.00590341	6.04426
156	0.00657754	6.0322
157	0.00698494	6.04226
158	0.00722233	6.05538
159	0.00734584	6.06451
160	0.00738262	6.067
161	0.00733546	6.06229
162	0.00718078	6.0522
163	0.00685889	6.04387
164	0.00684396	6.04682
165	0.00670839	6.04571
166	0.00639818	6.04963
167	0.00581236	6.08357
168	0.00574497	6.09048
169	0.00551208	6.10289
170	0.00504652	6.14244
171	0.00423886	6.27016
172	0.00292329	6.73286
173	0.00267359	6.82543
174	0.00307724	6.66109
175	0.00327318	6.593
176	0.0032836	6.57746
177	0.00311325	6.60805
178	0.00360284	6.44033
179	0.00385058	6.37279
180	0.00391492	6.34458
181	0.00382982	6.33354
182	0.00360856	6.33241
183	0.00379128	6.29307
184	0.00383351	6.27229
185	0.00377199	6.25224
186	0.003963	6.23068
187	0.00402863	6.22084
188	0.00401265	6.20764
189	0.00414694	6.20611
190	0.00418918	6.2054
191	0.00417508	6.19798
192	0.00411529	6.18228
193	0.00400358	6.15872
194	0.00381891	6.12903
195	0.00352291	6.09778
196	0.00305303	6.07833
197	0.0023102	6.12009
198	0.00113886	6.57825
199	0.000802264	6.63555
200	0.000273018	7.54159
201	0.000122321	8.31622
202	8.34966e-05	8.68542
203	9.04108e-05	8.61831
204	8.62008e-05	8.66668
205	0.000144811	8.08732
206	0.000186269	7.9064
207	0.000211961	7.83125
208	0.000368671	7.35612
209	0.00048421	7.23722
210	0.000976096	6.6598
211	0.00133823	6.56118
212	0.00160156	6.55143
213	0.00178998	6.56696
214	0.00256341	6.38073
215	0.00565699	5.70147
216	0.0180772	4.74306
217	0.0272741	4.66132
218	0.0341578	4.66353
219	0.0393661	4.68455
220	0.043343	4.70938
221	0.0463972	4.73355
222	0.059332	4.60959
223	0.0693214	4.56437
224	0.0770138	4.55148
225	0.0829021	4.55377
226	0.0873649	4.56318
227	0.0906882	4.5752
228	0.093073	4.58704
229	0.0946312	4.59699
230	0.0953693	4.60434
231	0.0951553	4.60976
232	0.0936654	4.61644
233	0.0903012	4.63276
234	0.0916995	4.64256
235	0.0916839	4.65328
236	0.0899751	4.66925
237	0.0860587	4.70054
238	0.0895147	4.70163
239	0.0910992	4.70896
240	0.10618	4.61939
241	0.117311	4.5803
242	0.125253	4.56418
243	0.13054	4.55921
244	0.133526	4.55998
245	0.134412	4.56433
246	0.133274	4.57211
247	0.130075	4.58478
248	0.124684	4.60554
249	0.116873	4.64014
250	0.106316	4.69913
251	0.0925647	4.80418
252	0.0919126	4.80166
253	0.101386	4.72727
254	0.107555	4.69273
255	0.111226	4.67614
256	0.11296	4.667
257	0.113108	4.66016
258	0.111827	4.65361
259	0.109094	4.64788
260	0.104702	4.64628
261	0.0982475	4.6564
262	0.0891146	4.6941
263	0.0874708	4.6909
264	0.0846971	4.68882
265	0.0806366	4.69156
266	0.0750193	4.70572
267	0.0674603	4.74386
268	0.0658735	4.7358
269	0.0636119	4.72533
270	0.0605583	4.71419
271	0.056525	4.70535
272	0.0512443	4.70474
273	0.0443489	4.72592
274	0.0353464	4.80577
275	0.0235854	5.08503
276	0.0207978	5.08328
277	0.017143	5.11548
278	0.0123719	5.25099
279	0.00617034	5.9059
280	0.00471839	6.0418
281	0.00283756	6.51567
282	0.00242155	6.57589
283	0.00187026	6.72563
284	0.0011569	7.19568
285	0.00101089	7.25299
286	0.000808327	7.38794
287	0.000541583	7.76638
288	0.000492227	7.79954
289	0.000514441	7.76013
290	0.000512756	7.74861
291	0.000495986	7.73988
292	0.000466859	7.72895
293	0.000424334	7.71855
294	0.000364081	7.7203
295	0.000277424	7.77863
296	0.000148444	8.19356
297	0.000112544	8.2509
298	5.36247e-05	8.8793
299	3.65643e-05	9.16956
300	3.40587e-05	9.18508
301	4.12451e-05	8.98084
302	6.53929e-05	8.48804
303	7.65021e-05	8.41641
304	8.04895e-05	8.40683
305	7.99243e-05	8.40126
306	7.52173e-05	8.3921
307	7.6515e-05	8.39693
308	7.43353e-05	8.39028
309	6.79889e-05	8.38289
310	6.75298e-05	8.39218
311	6.37009e-05	8.39293
312	5.46092e-05	8.43142
313	3.58691e-05	8.76352
314	3.04763e-05	8.89147
315	1.83543e-05	9.57165
316	1.78252e-05	9.74397
317	3.27439e-05	9.10013
318	4.24533e-05	8.94259
319	9.43155e-05	8.19737
320	0.000316862	7.14497
321	0.00125619	6.13113
322	0.00197677	6.05764
323	0.00252567	6.06219
324	0.00293997	6.08651
325	0.0032489	6.11578
326	0.00347494	6.14399
327	0.00439973	6.05736
328	0.00506947	6.03933
329	0.00554564	6.04509
330	0.00743933	5.85773
331	0.00877573	5.80663
332	0.00970494	5.79934
333	0.0103329	5.80713
334	0.0128354	5.6828
335	0.0223504	5.1229
336	0.0289062	5.0041
337	0.0334022	4.98042
338	0.0364663	4.98652
339	0.0385324	5.00176
340	0.0398952	5.01795
341	0.0407476	5.03146
342	0.0412048	5.04053
343	0.0413168	5.04432
344	0.0410688	5.04261
345	0.0403704	5.03608
346	0.0408622	5.0458
347	0.0409414	5.04981
348	0.040576	5.04871
349	0.0396402	5.04515
350	0.037887	5.04612
351	0.0349028	5.06898
352	0.03004	5.1606
353	0.0290091	5.17194
354	0.0271033	5.20176
355	0.0276974	5.21195
356	0.0276946	5.22337
357	0.0270458	5.2407
358	0.0256462	5.27334
359	0.0233348	5.34033
360	0.019893	5.4856
361	0.0150413	5.84019
362	0.0146248	5.87003
363	0.0135839	5.9448
364	0.0118869	6.09526
365	0.01293	5.98754
366	0.0133407	5.9427
367	0.0132363	5.93081
368	0.0126855	5.94079
369	0.0139921	5.83367
370	0.0146508	5.78737
371	0.0148516	5.7642
372	0.0147066	5.74875
373	0.0142655	5.73512
374	0.0147021	5.71625
375	0.014814	5.7056
376	0.0146957	5.6943
377	0.0143814	5.67955
378	0.0138599	5.6616
379	0.0130792	5.64314
380	0.0129264	5.63024
381	0.0126512	5.61101
382	0.0122263	5.58605
383	0.0115951	5.557
384	0.010666	5.52802
385	0.00929982	5.51057
386	0.00728991	5.5418
387	0.00433429	5.81217
388	0.00354156	5.78393
389	0.00238141	5.82883
390	0.000691927	6.75619
391	0.000244996	7.66828
392	0.000128165	8.22737
393	9.97579e-05	8.35844
394	9.91424e-05	8.36023
395	9.23434e-05	8.3728
396	7.93161e-05	8.41211
397	5.90002e-05	8.54273
398	2.92876e-05	9.19
399	2.46512e-05	9.2822
400	3.32223e-05	8.93481
401	6.66072e-05	8.21425
402	8.51041e-05	8.11691
403	0.000144181	7.72876
404	0.000321912	7.0554
405	0.000417062	7.01846
406	0.000466686	7.04668
407	0.000491442	7.07727
408	0.000502129	7.09585
409	0.000503249	7.09878
410	0.000518499	7.12292
411	0.000522067	7.13193
412	0.000515355	7.12632
413	0.000494152	7.11259
414	0.00044671	7.11506
415	0.000431379	7.10257
416	0.00039711	7.09259
417	0.00032924	7.13762
418	0.000201117	7.53631
419	0.000159113	7.63772
420	8.32542e-05	8.35674
421	6.0197e-05	8.68885
422	5.58201e-05	8.76267
423	4.4907e-05	8.98704
424	4.54248e-05	9.01261
425	4.16435e-05	9.1009
426	4.61868e-05	9.08173
427	4.69478e-05	9.0996
428	4.46808e-05	9.13517
429	3.90388e-05	9.21554
430	2.85271e-05	9.48756
431	2.78762e-05	9.49792
432	2.36003e-05	9.63903
433	2.87443e-05	9.4114
434	5.5165e-05	8.63693
435	7.23588e-05	8.46248
436	0.000141049	7.83203
437	0.000186636	7.71344
438	0.000215616	7.68511
439	0.000325705	7.38812
440	0.000715636	6.65483
441	0.000962038	6.56892
442	0.00111451	6.57369
443	0.00120611	6.59691
444	0.00125782	6.61807
445	0.00128137	6.62929
446	0.00138411	6.64386
447	0.00171766	6.55608
448	0.00190489	6.55212
449	0.00200556	6.56461
450	0.00205269	6.5748
451	0.00206153	6.57705
452	0.00214855	6.5847
453	0.0021835	6.5902
454	0.00218075	6.58873
455	0.00214089	6.5804
456	0.00205167	6.56976
457	0.00188516	6.5708
458	0.00159089	6.62799
459	0.00108358	6.94272
460	0.000928138	6.9889
461	0.000884859	6.97397
462	0.000807574	6.96397
463	0.000678851	6.99081
464	0.000643324	6.96492
465	0.000583812	6.93506
466	0.000488741	6.91881
